posx0	posy0	posz0	velx0	vely0	velz0
0.0090539	-0.0179291	0.0221104	0	0	0
0.00926356	-0.0183641	0.0225494	0.02556829268292688	-0.05304878048780505	0.05353658536585389
0.00945223	-0.0187788	0.0230108	0.023008536585365877	-0.05057317073170696	0.05626829268292692
0.00635568	-0.0179723	0.0264329	0.023008536585365877	-0.05057317073170696	0.05626829268292692
0.00640964	-0.0183287	0.0270282	0.006580487804878106	-0.04346341463414632	0.07259756097560977
0.008183384285714284	-0.017125588571428572	0.02237682857142857	0.006580487804878106	-0.04346341463414632	0.07259756097560977
0.007645104285714285	-0.018431642857142855	0.025293885714285713	0.006580487804878106	-0.04346341463414632	0.07259756097560977
0.007290308571428572	-0.018624314285714285	0.02627017142857143	-0.04326777003484314	-0.023496515679442716	0.11905923344947779
0.006913355714285714	-0.018796285714285713	0.027280071428571424	-0.045969860627177735	-0.020972125435540036	0.12315853658536516
0.006513344285714285	-0.01894252857142857	0.028324314285714282	-0.04878188153310119	-0.01783449477351927	0.12734668989547043
0.0060652642857142855	-0.019092014285714283	0.029278214285714282	-0.05464390243902429	-0.018229965156794117	0.11632926829268302
0.005587717142857143	-0.019210757142857145	0.030258042857142852	-0.058237456445993034	-0.014480836236934356	0.11949128919860608
0.005080688571428571	-0.01929608571428571	0.03127047142857142	-0.06183275261324045	-0.010405923344947167	0.12346689895470372
0.004543111428571428	-0.0193514	0.03230885714285714	-0.0655581881533101	-0.006745644599303633	0.126632404181185
0.003973872857142857	-0.019371742857142858	0.03337712857142857	-0.06941933797909401	-0.0024808362369336924	0.13027700348432086
0.0033735485714285708	-0.01935677142857143	0.03447558571428571	-0.07321027874564472	0.0018257839721252912	0.13395818815330976
0.0027446885714285715	-0.019310357142857143	0.035604142857142855	-0.07669024390243895	0.005660278745644773	0.13762891986062747
0.002519114285714286	-0.019528414285714286	0.036614014285714286	-0.027509059233449474	-0.026592334494773596	0.12315505226480865
0.0022602014285714282	-0.019728742857142857	0.037794414285714284	-0.031574738675958246	-0.024430313588850096	0.14395121951219492
